customer_id,total_ratings,avg_star_rating,avg_helpful_votes,avg_sentiment,avg_review_length,products_reviewed,percent_reviewed_after_purchase,top_keywords,password
33774,1,5,0,0.272,16,1,1,"high, quality, product., fast, shipping., completely, satisfied., refreshing, effect, ,",u_1
50642,1,4,0,0,15,1,0,"i, wanted, something, different, for, my, sponges, scratchers, this, is",u_2
77557,1,5,0,0.510606061,29,1,0,"my, not, new, school, smell, but, still, smells, great!!!, hubby",u_3
91020,1,5,0,0.91,2,1,0,"very, good",u_4
106879,1,4,0,0.25,15,1,1,"these, powder, puffs, pretty, much, okay,, i, just, wish, they",u_5
120882,1,5,0,0.458333333,9,1,0,"natural,, chemical, free, soap., it, smells, good, also!",u_6
133323,1,5,4,0.087142857,126,1,1,"the, to, i, of, very, was, you, in, out, little",u_7
177446,1,5,0,0,1,1,1,verygood,u_8
183666,1,5,0,0.666666667,22,1,1,"my, is, excellent, product., skin, softer, clearer., someone, guessed, age",u_9
207440,1,5,0,0.291282051,131,1,1,"the, to, i, it, not, very, is, product, use, me",u_10
207927,1,4,0,-0.05,10,1,1,"i, its, different, from, what, expected, but, like, it.",u_11
220069,1,5,0,0.303125,11,1,1,"we, loved, them, thanks, so, much!!, will, definitely, be, ordering",u_12
242200,1,3,1,0.266666667,29,1,1,"as, using, i, don't, feel, if, this, gives, me, much",u_13
254778,1,5,0,0.171296296,38,1,1,"to, it, as, the, is, you'll, definitely, need, 2-3, coats",u_14
283456,1,5,0,0.31,39,1,0,"i, really, like, makes, my, no, received, free, for, review,",u_15
294612,1,1,0,-0.4,38,1,1,"the, in, products, was, extremely, disappointed, size, of, i, ordered.",u_16
295410,1,5,0,0,11,1,1,"sturdy, quality, instruments., it, does, the, job, exceeded, my, expectations.",u_17
300396,1,3,0,0.05,12,1,1,"the, fragrance, it's, self, wouldn't, last,, it, would, ware, off",u_18
324859,1,5,0,0.35,39,1,0,"i, use, mascara, it, this, also, the, to, have, minimal",u_19
415644,1,1,6,0,7,1,1,"this, does, not, seem, surgical, grade, steel.",u_20
450956,1,5,0,0.366215946,110,1,1,",, i, these, with, the, love, have, them, many, do",u_21
472346,1,5,0,0.91,2,1,1,"very, good",u_22
506786,1,5,0,0.075,4,1,1,"exactly, what, was, expected",u_23
512854,1,1,15,0.5125,38,1,1,"to, i, chose, go, with, brand-name, because, believed, that, the",u_24
522136,1,1,3,0,20,1,1,"for, my, not, skin!!, i, used, it, 3, days, face",u_25
544029,1,5,0,0.7,1,1,1,good,u_26
578586,1,5,0,1,3,1,1,"love, it, !!!!!!",u_27
602268,1,5,0,0.433333333,7,1,1,"easy, to, use., works, well, as, described",u_28
657129,1,1,0,0.10625,29,1,1,"i, not, did, like, actually, it., gave, it, to, my",u_29
694059,1,5,0,0.58125,26,1,1,"i, so, this, one, of, the, best, investments, i've, ever",u_30
712095,1,5,0,0,9,1,1,"i, got, this, for, my, wife, she, loves, it",u_31
724022,1,5,0,0.5,3,1,0,"love, the, shaver.",u_32
732949,1,5,1,0.375,11,1,1,"small, size, ,but, sufficient, for, teeth, cleaning., perfect, as, my",u_33
754795,1,5,0,0.51875,71,1,0,"for, to, price, perfect, purple, like, the, mix, of, great",u_34
799368,1,5,0,0.683333333,10,1,0,"great, product, at, price!, fast, shipping, too!",u_35
823235,1,3,0,0.3,19,1,0,"not, fan, of, this, one, as, much,, i'd, much, prefer",u_36
827424,1,4,0,0,12,1,0,"it, is, durable,, only, one, pass, you, have, defined, your",u_37
828065,1,4,0,0.6,22,1,1,"the, i, love, shampoo, rinse,, but, not, convinced, vitamins, do",u_38
853300,1,4,0,0.466666667,4,1,0,"wonderful., more, than, expected.",u_39
865548,1,5,0,-0.0125,23,1,1,"my, is, i, love, this, iron..., only, concern,, it, second",u_40
868175,1,5,0,0.433333333,7,1,0,"works, well, is, easy, to, use.",u_41
934867,1,5,0,0.133333333,40,1,0,"i, for, this, my, face., have, been, using, 2, weeks",u_42
961145,1,5,0,0.41547619,43,1,1,"so, much, light, the, love, this, mirror!, it's, easier, to",u_43
1015834,1,5,0,0.4375,26,1,1,"it, i, thought, was, lot, pinker, than, going, to, be!",u_44
1028096,1,5,1,0.229166667,10,1,1,"eye, very, useful!, it, can, clean, shadow, black",u_45
1043905,1,4,0,0.7,19,1,1,"i, smells, good,, but, use, with, ventilation,, wish, they, would",u_46
1084737,1,5,1,0.15,84,1,0,"i, the, was, it, my, used, mederma, this, as, 2",u_47
1122970,1,5,0,0,1,1,1,excelente....,u_48
1186446,1,5,0,0.5,8,1,1,"nice, smooth;, always, clears, my, skin, up",u_49
1210935,1,5,1,-0.115,28,1,1,"the, it, taste, very, nice, color, lasts, longer, than, other",u_50
1316021,1,5,0,-0.075,66,1,0,"i, to, my, was, this, tea, tree, oil, lice, but",u_51
1365923,1,5,0,0.78125,4,1,1,"totally, love, them, !!",u_52
1430793,1,5,0,0.8,4,1,1,"great, hold., smells",u_53
1443478,1,5,0,0.5,3,1,1,"love, the, perfume",u_54
